c ChengDu graph
p edge 27317 28340
n 1 104.061278 30.676555
n 2 104.110497 30.663825
n 3 104.042383 30.705747
n 4 104.063606 30.649548
n 5 104.063427 30.658832
n 6 104.110208 30.740806
n 7 104.106917 30.732129
n 8 104.104168 30.724930
n 9 104.102528 30.720609
n 10 104.100251 30.714721
n 11 104.097150 30.709968
n 12 104.083862 30.689836
n 13 104.080525 30.684752
n 14 104.071197 30.688313
n 15 104.069360 30.681145
n 16 104.069117 30.679899
n 17 104.053063 30.671224
n 18 104.049497 30.672970
n 19 104.039752 30.678008
n 20 104.061431 30.654998
n 21 104.066477 30.654887
n 22 104.058144 30.660682
n 23 104.058201 30.656662
n 24 104.058114 30.656350
n 25 104.053784 30.650150
n 26 104.058391 30.650408
n 27 104.063598 30.651584
n 28 104.069149 30.669599
n 29 104.068077 30.669593
n 30 104.070561 30.657450
n 31 104.101599 30.714339
n 32 104.101983 30.714223
n 33 104.101899 30.714261
n 34 104.101751 30.714314
n 35 104.102859 30.714000
n 36 104.102996 30.713824
n 37 104.103106 30.713742
n 38 104.103192 30.713691
n 39 104.103287 30.713660
n 40 104.103402 30.713647
n 41 104.103587 30.713661
n 42 104.103822 30.713675
n 43 104.104062 30.714031
n 44 104.104084 30.714092
n 45 104.104073 30.714162
n 46 104.104094 30.714200
n 47 104.104313 30.714228
n 48 104.104405 30.714219
n 49 104.104454 30.714200
n 50 104.104476 30.714167
n 51 104.104482 30.714087
n 52 104.104492 30.714003
n 53 104.104541 30.713933
n 54 104.104580 30.713881
n 55 104.104629 30.713853
n 56 104.104689 30.713839
n 57 104.104732 30.713829
n 58 104.104765 30.713811
n 59 104.104776 30.713778
n 60 104.104792 30.713694
n 61 104.104803 30.713623
n 62 104.104841 30.713572
n 63 104.104896 30.713534
n 64 104.104142 30.714219
n 65 104.105027 30.713455
n 66 104.105136 30.713417
n 67 104.105174 30.713394
n 68 104.105185 30.713356
n 69 104.105212 30.713314
n 70 104.105239 30.713258
n 71 104.105305 30.713178
n 72 104.105485 30.712826
n 73 104.105632 30.712456
n 74 104.105697 30.712269
n 75 104.105752 30.712226
n 76 104.105828 30.712165
n 77 104.105899 30.712133
n 78 104.105986 30.712123
n 79 104.106079 30.712133
n 80 104.106199 30.712147
n 81 104.106204 30.711922
n 82 104.106204 30.711781
n 83 104.106172 30.711626
n 84 104.106084 30.711467
n 85 104.106041 30.711387
n 86 104.105997 30.711251
n 87 104.105997 30.711158
n 88 104.106019 30.710872
n 89 104.106052 30.710839
n 90 104.106079 30.710797
n 91 104.106101 30.710755
n 92 104.106095 30.710637
n 93 104.106046 30.710525
n 94 104.106003 30.710478
n 95 104.105932 30.710436
n 96 104.105866 30.710412
n 97 104.105785 30.710412
n 98 104.105573 30.710381
n 99 104.105474 30.710302
n 100 104.105452 30.710187
n 101 104.105153 30.710075
n 102 104.105048 30.710037
n 103 104.104937 30.710011
n 104 104.104786 30.709963
n 105 104.104647 30.709942
n 106 104.104609 30.710069
n 107 104.104574 30.710176
n 108 104.104561 30.710241
n 109 104.104540 30.710322
n 110 104.104516 30.710356
n 111 104.104507 30.710407
n 112 104.104570 30.710430
n 113 104.104610 30.710464
n 114 104.104671 30.710486
n 115 104.104816 30.710581
n 116 104.105028 30.710741
n 117 104.105333 30.711401
n 118 104.105550 30.711950
n 119 104.105555 30.712179
n 120 104.105505 30.712270
n 121 104.105450 30.712326
n 122 104.105394 30.712356
n 123 104.105314 30.712356
n 124 104.105158 30.712356
n 125 104.104369 30.712879
n 126 104.104128 30.713009
n 127 104.104103 30.713100
n 128 104.104073 30.713195
n 129 104.104023 30.713259
n 130 104.103942 30.713316
n 131 104.103857 30.713324
n 132 104.103736 30.713298
n 133 104.103656 30.713264
n 134 104.103606 30.713220
n 135 104.103585 30.713117
n 136 104.103415 30.713126
n 137 104.103204 30.713104
n 138 104.103229 30.713173
n 139 104.103249 30.713212
n 140 104.103244 30.713303
n 141 104.103199 30.713354
n 142 104.103143 30.713380
n 143 104.103103 30.713372
n 144 104.102942 30.713341
n 145 104.102912 30.713324
n 146 104.102877 30.713268
n 147 104.102852 30.713212
n 148 104.102847 30.713134
n 149 104.102832 30.713113
n 150 104.102807 30.713104
n 151 104.102696 30.713052
n 152 104.102641 30.712987
n 153 104.102621 30.712966
n 154 104.102515 30.712823
n 155 104.102457 30.712652
n 156 104.102420 30.712581
n 157 104.102400 30.712516
n 158 104.102364 30.712486
n 159 104.102334 30.712486
n 160 104.102289 30.712508
n 161 104.102198 30.712290
n 162 104.102043 30.712272
n 163 104.101847 30.712229
n 164 104.101851 30.711774
n 165 104.101872 30.711660
n 166 104.101947 30.711161
n 167 104.102192 30.710775
n 168 104.102396 30.710565
n 169 104.102420 30.710558
n 170 104.102461 30.710565
n 171 104.102510 30.710558
n 172 104.102551 30.710537
n 173 104.102608 30.710474
n 174 104.102624 30.710417
n 175 104.102624 30.710383
n 176 104.102600 30.710312
n 177 104.102534 30.710249
n 178 104.102469 30.710214
n 179 104.102420 30.710193
n 180 104.102363 30.710186
n 181 104.102306 30.710207
n 182 104.102290 30.710235
n 183 104.102290 30.710270
n 184 104.102298 30.710298
n 185 104.102302 30.710318
n 186 104.101947 30.710651
n 187 104.101895 30.710664
n 188 104.101837 30.710660
n 189 104.101795 30.710660
n 190 104.101545 30.710709
n 191 104.101285 30.710792
n 192 104.101100 30.710878
n 193 104.100970 30.711034
n 194 104.101039 30.711557
