p XiaMen Graph
n 1 118.152556 24.485927
n 2 118.152482 24.48597
n 3 118.151916 24.486348
n 4 118.150707 24.486719
n 5 118.150492 24.486807
n 6 118.157728 24.488633
n 7 118.155172 24.488748
n 8 118.154558 24.488776
n 9 118.152262 24.488879
n 10 118.15217 24.48889
n 11 118.151146 24.489012
n 12 118.150162 24.48924
n 13 118.149495 24.489511
n 14 118.14899 24.489743
n 15 118.148742 24.489898
n 16 118.148576 24.490001
n 17 118.148375 24.490129
n 18 118.147434 24.490729
n 19 118.146568 24.491157
n 20 118.146376 24.49124
n 21 118.145477 24.49157
n 22 118.144709 24.491773
n 23 118.143957 24.491931
n 24 118.143429 24.491981
n 25 118.142973 24.492125
n 26 118.142904 24.492146
n 27 118.141584 24.49242
n 28 118.140971 24.492565
n 29 118.140813 24.492605
n 30 118.1408 24.492497
n 31 118.140756 24.492162
n 32 118.140713 24.491953
n 33 118.140289 24.488674
n 34 118.14025 24.488509
n 35 118.140211 24.488198
n 36 118.139678 24.486102
n 37 118.139415 24.485074
n 38 118.139137 24.48399
n 39 118.138905 24.483111
n 40 118.138528 24.481634
n 41 118.138252 24.480852
n 42 118.138092 24.480702
n 43 118.137941 24.480581
n 44 118.137317 24.480603
n 45 118.136719 24.480577
n 46 118.136551 24.48057
n 47 118.134832 24.480255
n 48 118.131307 24.479303
n 49 118.131006 24.479237
n 50 118.130303 24.479083
n 51 118.12901 24.478966
n 52 118.127853 24.478958
n 53 118.126861 24.479006
n 54 118.1261 24.479086
n 55 118.125893 24.479106
n 56 118.125525 24.47914
n 57 118.125183 24.479173
n 58 118.125091 24.479181
n 59 118.124525 24.479235
n 60 118.123911 24.479293
n 61 118.123631 24.479318
n 62 118.121597 24.479499
n 63 118.121116 24.479491
n 64 118.119245 24.479322
n 65 118.118633 24.479272
n 66 118.118058 24.479225
n 67 118.116886 24.479327
n 68 118.116302 24.479435
n 69 118.116002 24.479603
n 70 118.115826 24.479718
n 71 118.115673 24.479747
n 72 118.115475 24.479711
n 73 118.115346 24.479631
n 74 118.115248 24.479502
n 75 118.114836 24.479233
n 76 118.113811 24.478947
n 77 118.113324 24.478826
n 78 118.113064 24.478764
n 79 118.110406 24.477999
n 80 118.109963 24.477863
n 81 118.107164 24.477126
n 82 118.106711 24.477006
n 83 118.106534 24.476978
n 84 118.106072 24.476851
n 85 118.103945 24.476261
n 86 118.101164 24.475525
n 87 118.100677 24.475404
n 88 118.097908 24.474622
n 89 118.096959 24.474354
n 90 118.09643 24.474212
n 91 118.095857 24.474074
n 92 118.095716 24.474044
n 93 118.095213 24.473915
n 94 118.09465 24.473736
n 95 118.092761 24.4732
n 96 118.092348 24.473055
n 97 118.092388 24.472941
n 98 118.092507 24.472581
n 99 118.092595 24.472292
n 100 118.092787 24.47174
n 101 118.093033 24.47103
n 102 118.093079 24.470892
n 103 118.092274 24.470685
n 104 118.091092 24.47029
n 105 118.088669 24.469536
n 106 118.087102 24.469001
n 107 118.087815 24.466675
n 108 118.087905 24.466692
n 109 118.087193 24.469027
n 110 118.086524 24.470923
n 111 118.086514 24.470951
n 112 118.086352 24.471411
n 113 118.086364 24.47147
n 114 118.08622 24.471424
n 115 118.086202 24.471345
n 116 118.086382 24.470846
n 117 118.086823 24.469589
n 118 118.088002 24.466051
n 119 118.088056 24.46594
n 120 118.085508 24.465291
n 121 118.083582 24.464809
n 122 118.083341 24.464761
n 123 118.081787 24.464394
n 124 118.081905 24.464232
n 125 118.083163 24.464512
n 126 118.083648 24.46463
n 127 118.083994 24.464709
n 128 118.085142 24.46498
n 129 118.085749 24.465123
n 130 118.08703 24.465448
n 131 118.08752 24.464481
n 132 118.087826 24.46371
n 133 118.087386 24.463004
n 134 118.087012 24.462535
n 135 118.086786 24.462319
n 136 118.086571 24.462113
n 137 118.085789 24.461364
n 138 118.085524 24.461032
n 139 118.085343 24.460591
n 140 118.085188 24.45994
n 141 118.084913 24.459066
n 142 118.084886 24.45898
n 143 118.085086 24.459016
n 144 118.085374 24.458971
n 145 118.085547 24.458875
n 146 118.086049 24.458524
