c XiaMen graph
p edge 50838 53911
n 1 118.083019 24.505453
n 2 118.055770 24.526720
n 3 118.067640 24.506700
n 4 118.068330 24.539330
n 5 118.030290 24.551143
n 6 118.101784 24.568755
n 7 118.093980 24.560084
n 8 118.194977 24.482775
n 9 118.053467 24.445999
n 10 118.193430 24.522203
n 11 118.091004 24.537268
n 12 118.034900 24.532840
n 13 118.194577 24.507308
n 14 118.130504 24.424790
n 15 118.067734 24.457912
n 16 118.102843 24.567279
n 17 118.056630 24.526240
n 18 118.068952 24.485241
n 19 118.068610 24.539210
n 20 118.029640 24.551033
n 21 118.106754 24.430030
n 22 118.066592 24.506322
n 23 118.082010 24.504612
n 24 118.093850 24.560333
n 25 118.069843 24.441501
n 26 118.051060 24.532220
n 27 118.070262 24.480217
n 28 118.029050 24.544853
n 29 118.053616 24.444881
n 30 118.067115 24.449001
n 31 118.194641 24.508144
n 32 118.037730 24.532160
n 33 118.197060 24.484408
n 34 118.076183 24.448227
n 35 118.191010 24.529581
n 36 118.101975 24.569201
n 37 118.029620 24.551553
n 38 118.067380 24.506050
n 39 118.074790 24.499042
n 40 118.056480 24.526360
n 41 118.049205 24.411305
n 42 118.036040 24.532360
n 43 118.192043 24.472959
n 44 118.070006 24.441874
n 45 118.030160 24.544893
n 46 118.088926 24.566043
n 47 118.111730 24.555501
n 48 118.065831 24.449876
n 49 118.140200 24.430090
n 50 118.193487 24.520699
n 51 118.087833 24.565046
n 52 118.076898 24.502241
n 53 118.109776 24.430322
n 54 118.091486 24.537181
n 55 118.141494 24.430384
n 56 118.068438 24.456913
n 57 118.131343 24.424212
n 58 118.035200 24.552373
n 59 118.069421 24.486968
n 60 118.066813 24.505464
n 61 118.063730 24.513240
n 62 118.102064 24.568452
n 63 118.053040 24.528430
n 64 118.063527 24.569173
n 65 118.059654 24.453167
n 66 118.041390 24.531900
n 67 118.066062 24.440424
n 68 118.092990 24.560563
n 69 118.120211 24.556712
n 70 118.193137 24.475063
n 71 118.070903 24.443024
n 72 118.196300 24.483773
n 73 118.065142 24.450886
n 74 118.140010 24.430000
n 75 118.091535 24.537392
n 76 118.142033 24.431153
n 77 118.067648 24.457872
n 78 118.111782 24.430312
n 79 118.054934 24.444644
